,x,y
94,-103.71224248514609,20.729300229090878
95,-103.55729241431284,20.73603697100851
96,-103.55713233143018,20.740590923204387
97,-103.54539981734919,20.73650194985121
98,-103.55728615391479,20.740558414281917
99,-103.55799325266798,20.740586276489662
100,-103.85340456525779,20.75230172914663
101,-103.80599540983783,20.753434008768878
102,-103.7551253106523,20.740501171095854
103,-103.90427471104678,20.751397997374493
104,-103.90415846648484,20.751384201875133
105,-103.80593609916866,20.75343397260767
106,-103.94661309940717,20.753190020084627
107,-103.13642093873318,20.614543027626485
108,-103.01347057397396,20.602699853596697
109,-103.01182422910242,20.602602751723435
110,-103.01300699383,20.602630894180514
111,-103.14911525500683,20.633878830263154
112,-103.09512230461833,20.68026585332171
113,-103.31299857207041,20.67650417502669
114,-103.44911337326604,20.672475744569443
115,-103.35534056443167,20.66874785891964
116,-103.3927012528407,20.673598061779963
117,-103.28126481640399,20.67793174704147
118,-104.18158048649883,20.734409978993508
119,-103.90469435966313,20.68775656538477
120,-102.86684454895128,20.685096728018454
121,-102.6682272697886,20.695375360432696
122,-102.56037161014578,20.61182136364149
123,-103.8061461875631,20.753472023234664
124,-103.69071861533904,20.72211830658978
125,-103.70894080093535,20.728649029087453
126,-103.54592607914587,20.725022801622625
128,-103.63329589889919,20.72254970071419
129,-103.66375980350712,20.72222642858999
130,-103.57528990909746,20.66092050412717
131,-103.58572114585394,20.66464706989303
132,-103.42466047604313,20.66527226999072
133,-103.49949868773365,20.66698889659034
134,-103.18153440774893,20.662320964279193
135,-103.51426825604909,20.6659142579274
136,-102.49138227240549,20.618198780714447
137,-103.4722509189197,20.64691385949891
138,-103.47258094908383,20.646892488227298
139,-103.47322110973501,20.646928477665657
140,-103.47225803371448,20.646871659373744
141,-103.47177175768583,20.646871379124413
142,-103.51965580235587,20.651301931211353
143,-103.45927365751024,20.654657636708443
144,-103.40666548231083,20.650843524667497
145,-103.5557618790376,20.654909779744212
146,-103.43865827553842,20.645684848655744
147,-103.47274668651951,20.646857863874388
148,-103.4700697838184,20.6468704027719
149,-102.8675355850455,20.685112982479694
150,-102.78544635665989,20.689075391618577
151,-102.66892896254052,20.681380911170514
152,-102.86728672257293,20.685148004605846
153,-102.92520766106146,20.68255742498565
154,-102.66892436433255,20.681409035546984
155,-102.79699286080042,20.683167925553878
156,-102.66905280346631,20.68136691678453
157,-102.668357868216,20.683384748133562
158,-102.71439736350216,20.669465035039913
159,-102.69054819855977,20.725204177182004
160,-103.49284910421505,20.738578714922596
161,-103.49358166399149,20.73855804879446
162,-103.49273237808403,20.73855052726401
163,-103.4944440610055,20.73848824863028
164,-103.49443929191817,20.738516363966454
165,-103.49213681694339,20.738479895392135
166,-103.49383896169019,20.73847383839045
167,-103.49407361010766,20.738523180353425
168,-103.49468944375309,20.738474326566706
169,-103.91506689159537,20.72957161892752
170,-103.13830101548751,20.61454818963837
171,-103.0863746022939,20.618219528205287
172,-103.13658467222012,20.61463164969739
173,-103.11118497911846,20.612337908361212
174,-103.08287617381256,20.617317062075298
176,-102.9575337000919,20.597223519487677
177,-102.9577676494575,20.59727994000635
178,-102.92897026901898,20.75799343034687
179,-102.92830719500033,20.757969907483613
180,-103.6410128414457,20.741002835480096
181,-103.64220949400416,20.741026683794185
182,-103.64208663175101,20.74096486621581
184,-103.6815705892994,20.747444474851505
185,-103.7373255543454,20.71048285155655
186,-103.83964880859554,20.711774873297827
187,-103.6705640328381,20.711170348368572
188,-103.7377175671104,20.710466190281767
189,-103.73771564083408,20.71047744545654
190,-103.73791117341474,20.710471930872913
191,-103.66016113098486,20.71169906133347
192,-103.66035761116919,20.71168791464231
193,-103.56103636535215,20.772249985056543
195,-102.50871498437795,20.733437387248497
